Legacy record number,Input Date (yyyy/mm/dd),Organisation Code,Organization name,Organization type,Area of expertise,Assessment?,Emergency Response?,Recovery?,Sector,Region (if not a country) (free text),Country,Island Name,Location,Beneficiaries,Project description,Project Status,Start date (yyyy/mm/dd),End date (yyyy/mm/dd),Unique ID
,2017/09/17,,Global Medics,,Health,,,,,,Sint Maarten (Dutch part),Sint Maarten,,,Health,,,,37
,2017/09/17,,AeroVision Canada,,Drone Imagery,,,,,,Sint Maarten (Dutch part),Sint Maarten,,,Video Drone support GM,,,,36
,2017/09/17,,WFP,UN,Food Distributions,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Food - High energy biscuits,,,,35
,2017/09/17,,Dutch Military,Governement,Security/Logistics,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Relief Supplies,,,,34
,2017/09/17,,DART,,Deforestation,,,,,,Sint Maarten (Dutch part),Sint Maarten,,,clearing felled/damaged trees,,,,33
,2017/09/27,,KNMI,Research,Meteo Informaton,,,,,,Sint Maarten (Dutch part),Sint Maarten,,,Metereological forecast ,,,,32
,2017/09/27,,ADRA,NGO,Food/NFI,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,"ADRA is responding in six different communities of Sint Maarten: Cole Bay, Dutch Quarter, French Quarters, MRSG, Philipsburg and St Peter. We are distributing hot meals and water to 400 every day. We are expecting tarps, hygiene kits a dry food Thursday. Needs assessment and beneficiaries are done.
We also plan a response with food and hygiene vouchers in cooperation with the ministry of Health.
",,,,31
,2017/09/29,,Netherlands Red Cross,Red Cross and Red Crescent Movement,Multisector,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Water distribution,Ongoing,2017-09-10,,30
,2017/09/29,,Netherlands Red Cross,Red Cross and Red Crescent Movement,Multisector,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Food/NFI Distribution ,Ongoing,2017-09-13,,29
,2017/09/29,,Netherlands Red Cross,Red Cross and Red Crescent Movement,Multisector,,YES,,,,Sint Maarten (Dutch part),Sint Maarten,,,Tarps Distribution ,Ongoing,2017-09-16,,28
,2017/09/29,,Netherlands Red Cross,Red Cross and Red Crescent Movement,Multisector,,YES,,,,"Bonaire, Sint Eustatius and Saba",Saba,,,Food/Shelter/Water/RLF,Ongoing,2017-09-12,,27
,2017/09/29,,IFRC,Red Cross and Red Crescent Movement,Multisector,,YES,,,,Dominica,Dominica,,,Platform for visualizing and sharing data from ongoing financial institutions and markets survey has been published by American Red Cross,,,,26
,2017/09/29,,IFRC,Red Cross and Red Crescent Movement,Multisector,,YES,,,,Dominica,Dominica,Roseau,,Warehouse with 400 sq meters of space secured in Roseau and receiving items.,,,,25
,2017/09/26,,IFRC,Red Cross and Red Crescent Movement,Multisector,YES,,,CTP,,Dominica,Dominica,Roseau,,Cash transfer programming (CTP) assessment in Roseau. Key informant issues with select financial institutions and stores. Published to assessment tracking matrix for the country.,,,,24
,2017/09/29,,WFP,World Food Programme,"Food Security, Logistics, Emergency Telecoms",,YES,,Emergency Telecoms,,Dominica,Dominica,,,"•WFP has sent an emergency telecommunication team with support from telecommunications experts from Ericsson response team and the Government of Luxembourg. The team has secured connectivity at the Emergency Response Centre, the hospital, airports, as well as the fire brigades.  The team continues the expansion of their connectivity network to support the government and humanitarian actors in Dominica. Some 600 users are currently using ETC connectivity services. 

•The ETC is conducting needs assessment for provision of Services for Communities in two locations: Antigua (for citizens evacuated from Barbuda) and in Dominica.

•WFP is working with two Non-for-Profit organisations – WeRobotics and Open Aerial Map – using Unmanned Arial Vehicles (UAVs) to map the areas in Barbuda and Dominica.

•ETC  is  working  with  various  actors  present  on  the  ground,  including  humanitarian  organisations, local radio broadcasters and Mobile Network Operators (MNOs)
",,,,23
,2017/09/29,,WFP,World Food Programme,"Food Security, Logistics, Emergency Telecoms",,YES,,Food Security,,Dominica,Dominica,,,"•WFP has dispatched High Energy Biscuits (HEBs) pre-positioned on nearby islands as part of the earlier Hurricane Irma response to cover an initial three days for roughly 20,000 people. Over 12,000 people have been reached with distributions already, which has been distributed jointly with water and other food and non-food relief items.

•  WFP has deployed programme staff to support planning and distributions in coordination with authorities, also identifying further assistance needed. The WFP Regional Director for Latin America and the Caribbean has also met with the Dominica Prime Minister to discuss the response and a cash based transfer will be integrated intervention through local market is being developed.
",,,,22
,2017/09/29,,WFP,World Food Programme,"Food Security, Logistics, Emergency Telecoms",,YES,,Logistics,,Dominica,Dominica,,,"• WFP is augmenting existing storage capacity with the provision of 3 mobile storage units at key points of entry (port and airport in the capital Roseau and the main Douglas-Charles Airport) to service humanitarian operations in the West and North-eastern part of the country.

• A WFP Logistics Coordinator, Civil-Military Coordination Officer and other logistics specialists are on site, to support the Government-led response with logistics coordination, facilitation of the use of military assets and the transferring of technical capacities to government counterparts in the construction and maintenance of the storage units. 

• United Nations Humanitarian Air Service (UNHAS) aircraft continues to provide regular flights between Antigua and Dominica. This plane is primarily used for the transportation of humanitarian responders and some light cargo. WFP has also mobilised and made available helicopter lift capacity of 1.5 mt that will be used to support assessments and distribution activities to-hard-to reach locations based in Guadalupe. All logistics services and assets are provided on a free to user basis.
",,,,21
,2017/09/29,,WFP,World Food Programme,"Food Security, Logistics, Emergency Telecoms",,YES,,Funding,,Dominica,Dominica,,,"• WFP has launched a regional logistics and emergency telecommunication special operation (USD 12 million) to support CDEMA, governments and other humanitarian partners with logistics and telecommunication coordination, information management and common services support. 

• In response to Hurricane Irma and Jose, WFP had launched an IR-EMOP (USD 1.5 million) to provide immediate food assistance, primarily with HEBs, and ensure deployment of staff to support assessments, planning, coordination and food distributions.
",,,,20
,2017/09/27,USAID,USAID,UN,Public Health,Yes,Yes,Yes,Health,,Dominica,Dominica,,54000,"●Utilizing the LSS/SUMA system for health supply management
●Coordinated with the Dominican Republic and the Dutch and UK air forces to evacuate 17 trauma patients; some patients are scheduled to return safely to Dominica next week
●Coordinating with foreign armed forces /partners to ensure distribution of food and water to health facilities
●Deployed 7 personnel to support with coordination, hospital management, emergency response, surveillance, LSS/SUMA, surveillance, and logistics
●Continue health facilities assessment and distribution of medicines/supplies
●3 PAHO vehicles procured, distributing medicines /supplies & assessing health facility damage
●Supporting the re-establishment a mobile-phone-based surveillance system, with credit provided by PAHO to allow national epidemiologist to report cases on a daily basis
●Procuring or obtaining emergency medical supplies, medicines, and equipment, using LSS/SUMA
●Facilitate the donation of blood and tetanus vaccines from MOH/Barbados
●Coordinate the deployment next week of health personnel on loan from Saint Lucia (3: nurse, midwife, general practitioner) and Saint Vincent and the Grenadines (5: ICU nurse, midwives, and registered nurses). Barbados is identifying general surgeons, A&E, and internal medicine doctors.
●Leads WASH  coordination group meeting with national authorities & partners
●Coordinated with partners to distribute water to health facilities and shelters
●Support in assessing damage and needed repairs, liaising with partners to meet gaps
●Deployed 1 WASH expert to support the MOH 
●Dispatched water purification and testing supplies and bladders
",,,,19
,2017/09/27,,USAID/OFDA,USAID,Logistics,,yes,,Logistics,Eastern Caribbean,Dominica,,Douglas Charles Airport,,Provided a forklift to increase the efficiency of offloading humanitarian assistance,,,,18
,2017/09/29,,USAID/OFDA,USAID,NFI,,yes,,NFI,Eastern Caribbean,Dominica,,St. Andrews Parish,,"St. Andrew Parish: 
Marigot (3 distribution trips)
Willis Strathmore Primary (Collective Center) - 10 plastic sheets
Village Council Office - 25 blankets; 40 hygiene kits; 115 plastic sheets
Douglas Charles Airport Distribution to Marigot and Wesley (approx. 50/50): 100 plastic sheets and 100 hygiene kits

Wesley (2 distributions trips)
Village Council Office - 55 hygiene kits; 119 plastics sheets 
Wesley Hosptial - 25 plastics sheets; 25 hygiene kits
Penticostal Church (Collective Center): 12 plastics sheets
Wesley Community Center (temporary caretaking center): 8 hygiene kits
Wesley area (a few families staying with hosts): 10 plastic sheets; 10 hygiene kits",,,,17
,2017/09/30,,USAID/OFDA,USAID,NFI,,yes,,NFI,Eastern Caribbean,Dominica,,St. Andrews Parish,,"Calibishie (village council office): 100 plastic sheets, 100 hygiene kits
Woodford Hill (village council office): 130 plastic sheets, 100 hygiene kits
Margiot (misc. host families in Hamlit near airport): 10 plastic sheets and 10 hygiene kits
Wesley: 30 plastic sheets",,,,16
2017/09/30,2017/09/30,,USAID/OFDA,USAID,NFI,,yes,,NFI,Eastern Caribbean,Dominica,,St. David Parish,,"Atkinson: 434 plastics sheeting, 100 hygiene kits
Special Police Unit Dominica (ASP Corbette) for officers houses: 30 plastic sheets
Kalingo Areas - Castle Bruce, Morpo, Tranto, Good Hope, Petit Soufriere, San Sauveur: 350 plastic sheets",,,,15
,2017/09/30,,USAID/OFDA,USAID,NFI and Logisitics,,yes,,NFI,Eastern Caribbean,Dominica,,Jimmit Office of Disaster Management ,,30 rolls (300 sheets) and the 20 chainsaws,,,,14
,2017/10/01,,USAID/OFDA,USAID,NFI,,yes,,,Eastern Caribbean,Dominica,,,,"St. David Parish
Belles: 60 plastics sheets and 125 blankets (5 bales)
Sineku: 110 plastic sheets and 125 hygiene kits and 125 blankets (5 bales)

St. Joeseph Parish
Bataka: 110 plastic sheets, and 125 hygiene kits and 125 blankets (5 bales)

St. John Parish 
10 plastic sheets
",,,,13
,2017/10/02,CDF,CARICOM Development Fund,Regional Financial Institution,Development Financing,,yes,,,,Dominica,Dominica,,,"A grant of US$35,000 for General Clean Up Activities following Hurricane Maria",,,,12
,2017/10/02,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Food,,Dominica,Dominica,Dominica,,"•        A total of 17 mt of High Energy Biscuits (HEBs) have been distributed so far in prioritised locations in Dominica. Distributions were planned on the basis of a ration calculation of 300g of HEBs per person per day, covering a period of 3 days.
•        Together with Government’s supplies, between 25 September to 02 October, some 49,000 kg of food and 66,000 litres of water were distributed to 33,900 people in about 50 locations across the country.
•        WFP is currently exploring the procurement of an additional 375 mt of in-kind food (rice, beans, oil and canned fish) as part of its initial immediate response emergency operation (IR-EMOP) to assist approximately 20,000 people for 1 month.
•        Simultaneously, WFP is preparing a 6-month Emergency Operation (EMOP) to provide additional support through markets based approaches / cash based transfers at the request of the government, as well as a contingency of additional food should the functionality of markets remain limited for an extended period.
•        Following a request for support, WFP is working in concert with local authorities to coordinate food distributions in prioritised areas. 
•        Two new WFP staff members have joined teams on the ground, to support Government-led relief distributions and support the establishment of a cash-based transfer mechanism by conducting market assessments.
",,,,11
,2017/10/02,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Logistics,,Dominica,Dominica,Dominica,,"•        WFP has circulated a request for humanitarian organisations to share information on their projected and planned cargo transportation requirements (sea and/or air) to identify needs and potentially address gaps with the scale-up of transport assets in the region.
•        WFP has installed one Mobile Storage Unit (MSU) at Douglas-Charles airport with capacity of 320 m2 and two additional units are prepositioned in Roseau and ready to be installed at airport and port, to provide logistics augmentation and serve humanitarian operations in the West and North-eastern parts of the country. 
•        A Port Authority warehouse has been cleared and it’s currently storing Hurricane Maria relief supplies from a variety of humanitarian organisations and cooperation agencies. 
•        As of 02 October, 2017, regular Logistics Coordination meetings will be hosted at WFP’s office at the seaport. Invitations are being sent via the OCHA Dominica distribution list and the schedule  will be advertised on logistics cluster website
",,,,10
,2017/10/02,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Logistics,,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,,"•        The Logistics sector working group in Antigua, continues to coordinate with actors on the ground to support the consolidation and facilitation of cargo bound for Dominica and other hurricane-affected countries. 
•        The last rotation of relief supplies for Dominica on board the Netherlands navy vessel Pelikaan, was completed on 02 October, with cargo consolidated on behalf of 4 humanitarian organisations and cooperation agencies. 
•        Regular Logistics Coordination meetings are being held at St John. Schedule and meeting minutes are available on the logistics cluster website
•        Upon request of the Government of Antigua and Barbuda, WFP mobilized and will install a Mobile Storage Unit (MSU) in Barbuda to augment existing storage capacity and facilitate reconstructions efforts.  
",,,,9
,2017/10/02,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Logistics,,Barbados,Barbados,Barbados,,"•        Information Management capacity in Barbados continues to liaise with the coordination cell at the Caribbean Disaster Emergency Management Agency (CDEMA), and humanitarian organisations, cooperating agencies and other relief stakeholders to ensure a coordinated response. ",,,,8
,2017/10/02,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Emergency Telecoms,,Dominica,Dominica,Dominica,,"•	In Dominica the ETC internet bandwidth was doubled due to the more than 1000 registered devices and more than 650 unique users.
•	Local ISP EPIC is finalising together with ETC the fibre optics line for the network in Roseau which will enhance the user performance.
•	The expansion of the ETC connectivity at Marigot, where the team is currently working to get the local hospital connected, continues.
•	As part of Services for Communities (S4C), ETC is coordinating with partners to provide free WiFi spots to the communities. 
•	ETC’s S4C is further liaising with GSMA and Digicel in coordination with National Office of Disaster Services (NODS) to provide key messages through SMS to inform affected communities with relevant information.
",,,,7
,2017/10/02,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Emergency Telecoms,,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,,"•        Services for communities did information needs assessment for Barbuda. Exploring options to provide internet connectivity to Barbuda population at the community kitchen.
•        Supporting aid agencies on ground to connect with local media to inform communities.
",,,,6
,2017/10/02,USAID/OFDA,USAID/OFDA,USAID,NFIs,,yes,,,,Dominica,,,,"•        On October 2, the USAID Disaster Assistance Response Team (DART) completed two deliveries to the isolated Grand Bay community, including replacement pipes for the water distribution network, as well as food assistance, 1125 blankets, and 410 plastic sheets, and 50 water containers.",,,,
,2017/10/04,IOM,International Organization for Migration,UN Agency,Shelter/CCCM/Displacement Tracking,,YES,,Shelter,,Dominica,,DuBlanc,495,IOM distributed 165 solar lights and 35 hygiene kits donated in kind by DFID,Complete,2017/10/04,2017/10/04,
,2017/10/04,IOM,International Organization for Migration,UN Agency,Shelter/CCCM/Displacement Tracking,,YES,,Shelter,,Dominica,,Bioche,330,IOM distributed 110 solar lights donated in kind by DFID,Complete,2017/10/04,2017/10/04,
,2017/10/04,IOM,International Organization for Migration,UN Agency,Shelter/CCCM/Displacement Tracking,,YES,,Shelter,,Dominica,,Colihaut,261,IOM distributed 87 hygiene kits and 40 solar lights donated in kind by DFID,Complete,2017/10/04,2017/10/04,
